trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",20,0,22.15587706641874,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.95, 'e': 0.9025}",25,0,24.38012540587385,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.95, 'e': 0.8573749999999999}",25,4,33.01127268411319,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.95, 'e': 0.8145062499999999}",25,0,14.13548465285754,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.95, 'e': 0.7737809374999998}",35,14,24.457025191497742,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.95, 'e': 0.7350918906249998}",25,11,18.671894882039293,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.95, 'e': 0.6983372960937497}",20,3,29.03434361934483,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.95, 'e': 0.6634204312890623}",30,17,24.739603118545617,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.95, 'e': 0.6302494097246091}",30,0,45.56904721254821,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.95, 'e': 0.5987369392383787}",20,0,29.919857955517852,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0.5688000922764597}",30,0,41.48768180830532,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.95, 'e': 0.5403600876626367}",25,8,33.42373651278387,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.95, 'e': 0.5133420832795048}",25,5,34.38714476565111,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.48767497911552954}",30,2,39.20655522382309,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.95, 'e': 0.46329123015975304}",20,0,28.940881423932847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.95, 'e': 0.44012666865176536}",30,4,20.630735847907804,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.95, 'e': 0.4181203352191771}",25,0,37.54252957986937,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.95, 'e': 0.3972143184582182}",25,3,41.78742038745764,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.95, 'e': 0.37735360253530725}",20,3,28.427652084639107,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.95, 'e': 0.3584859224085419}",20,6,23.532881056335704,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.95, 'e': 0.3405616262881148}",20,13,11.468161838372906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.95, 'e': 0.323533544973709}",25,3,30.651859627429413,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.95, 'e': 0.3073568677250236}",20,11,20.236783286588167,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.95, 'e': 0.2919890243387724}",20,12,14.007521330309709,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.95, 'e': 0.27738957312183377}",25,0,5.2492492193986,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
26,False,"{'a': 0.95, 'e': 0.26352009446574204}",25,0,41.13471355166641,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.95, 'e': 0.2503440897424549}",25,9,31.454322349907326,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.95, 'e': 0.23782688525533216}",25,17,14.399007152892889,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.95, 'e': 0.22593554099256555}",20,10,19.28577752492564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.95, 'e': 0.21463876394293727}",25,0,38.82472807474911,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.95, 'e': 0.2039068257457904}",20,8,21.138822242885805,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.95, 'e': 0.19371148445850087}",20,8,20.58156018278879,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.95, 'e': 0.18402591023557582}",25,0,39.02122959398811,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.95, 'e': 0.174824614723797}",20,9,19.419355950511836,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.95, 'e': 0.16608338398760716}",30,21,16.404855994958297,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.95, 'e': 0.1577792147882268}",25,14,21.48087413551289,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.95, 'e': 0.14989025404881545}",20,12,13.197854354055238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.95, 'e': 0.14239574134637467}",25,10,25.08367070498956,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.95, 'e': 0.13527595427905592}",30,9,36.7029846385514,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.95, 'e': 0.12851215656510312}",20,13,14.269788732243413,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.95, 'e': 0.12208654873684796}",25,20,8.07403637498399,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.95, 'e': 0.11598222130000556}",20,14,10.794009332822212,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.95, 'e': 0.11018311023500528}",20,10,17.049756685838112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
