trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.95}",25,0,-182.71299293832558,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.4, 'e': 0.8999999999999999}",30,0,-145.878150718494,"{0: 15, 1: 5, 2: 6, 3: 4, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.8499999999999999}",25,0,-188.1498796939205,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
4,False,"{'a': 0.4, 'e': 0.7999999999999998}",20,0,-40.42934245969261,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.4, 'e': 0.7499999999999998}",20,0,-125.30618717935309,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
6,False,"{'a': 0.4, 'e': 0.6999999999999997}",20,0,-108.00581281167223,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.6499999999999997}",30,0,-125.03587304677303,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.5999999999999996}",25,0,-191.85189836057313,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.5499999999999996}",20,0,-138.47367939670696,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.4999999999999996}",25,7,-6.798560553133703,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.4, 'e': 0.4499999999999996}",20,0,-43.81144965862554,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.39999999999999963}",25,0,-58.76434480954272,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.34999999999999964}",30,0,-59.41165876904895,"{0: 22, 1: 4, 2: 2, 3: 2, 4: 0}",0
14,False,"{'a': 0.4, 'e': 0.29999999999999966}",20,0,-205.40141247558216,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
15,False,"{'a': 0.4, 'e': 0.24999999999999967}",25,0,-81.69486191406652,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.19999999999999968}",25,0,-172.29946871949807,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.4, 'e': 0.1499999999999997}",20,0,-57.29900570477761,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.09999999999999969}",25,0,-143.287665682172,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.4, 'e': 0.049999999999999684}",20,9,-0.7542678123526456,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.4, 'e': -3.191891195797325e-16}",25,0,-167.80900010705432,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0.4, 'e': -0.05000000000000032}",20,0,-94.05090297090675,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
2,True,"{'a': 0.4, 'e': -0.10000000000000032}",35,1,-192.38212942537479,"{0: 20, 1: 4, 2: 6, 3: 1, 4: 3}",1
3,True,"{'a': 0.4, 'e': -0.15000000000000033}",30,0,-120.58616192130798,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
4,True,"{'a': 0.4, 'e': -0.20000000000000034}",30,0,-188.5637783139714,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
